DATE,INFLAZIONE
2024-06,0.009
2023-12,0.057
2022-12,0.081
2021-12,0.019
2020-12,-0.002
2019-12,0.006
2018-12,0.012
2017-12,0.012
2016-12,-0.001
2015-12,0.001
2014-12,0.002
2013-12,0.012
2012-12,0.03
2011-12,0.027
2010-12,0.015
2009-12,0.008
2008-12,0.033
2007-12,0.018
2006-12,0.021
2005-12,0.019
2004-12,0.022
2003-12,0.027
2002-12,0.025
2001-12,0.027
2000-12,0.025
1999-12,0.017
1998-12,0.02
1997-12,0.02
1996-12,0.04
1995-12,0.053
1994-12,0.041
1993-12,0.047
1992-12,0.053
1991-12,0.062
1990-12,0.065
1989-12,0.063
1988-12,0.05
1987-12,0.048
1986-12,0.058
1985-12,0.092
1984-12,0.108
1983-12,0.147
1982-12,0.165
1981-12,0.178
1980-12,0.212
1979-12,0.148
1978-12,0.121
1977-12,0.17
1976-12,0.168
1975-12,0.17
1974-12,0.191
1973-12,0.108
1972-12,0.057
1971-12,0.048
1970-12,0.05
1969-12,0.026
1968-12,0.014
1967-12,0.037
1966-12,0.023
1965-12,0.046
1964-12,0.059
1963-12,0.075
1962-12,0.047
1961-12,0.021
1960-12,0.023
1959-12,-0.004
1958-12,0.028
1957-12,0.013
1956-12,0.034
1955-12,0.023
