DATE,DGS1
1993-04-01,3.260
1993-05-01,3.620
1993-06-01,3.450
1993-07-01,3.530
1993-08-01,3.380
1993-09-01,3.390
1993-10-01,3.470
1993-11-01,3.650
1993-12-01,3.630
1994-01-01,3.530
1994-02-01,4.030
1994-03-01,4.500
1994-04-01,5.070
1994-05-01,5.380
1994-06-01,5.510
1994-07-01,5.370
1994-08-01,5.560
1994-09-01,5.960
1994-10-01,6.180
1994-11-01,6.910
1994-12-01,7.200
1995-01-01,6.840
1995-02-01,6.440
1995-03-01,6.490
1995-04-01,6.320
1995-05-01,5.800
1995-06-01,5.650
1995-07-01,5.670
1995-08-01,5.650
1995-09-01,5.650
1995-10-01,5.550
1995-11-01,5.360
1995-12-01,5.180
1996-01-01,4.900
1996-02-01,5.230
1996-03-01,5.410
1996-04-01,5.620
1996-05-01,5.770
1996-06-01,5.700
1996-07-01,5.850
1996-08-01,5.910
1996-09-01,5.710
1996-10-01,5.440
1996-11-01,5.380
1996-12-01,5.510
1997-01-01,5.580
1997-02-01,5.670
1997-03-01,6.020
1997-04-01,5.900
1997-05-01,5.780
1997-06-01,5.670
1997-07-01,5.450
1997-08-01,5.590
1997-09-01,5.470
1997-10-01,5.360
1997-11-01,5.520
1997-12-01,5.510
1998-01-01,5.240
1998-02-01,5.410
1998-03-01,5.410
1998-04-01,5.400
1998-05-01,5.420
1998-06-01,5.380
1998-07-01,5.380
1998-08-01,4.950
1998-09-01,4.410
1998-10-01,4.180
1998-11-01,4.530
1998-12-01,4.530
1999-01-01,4.510
1999-02-01,4.880
1999-03-01,4.720
1999-04-01,4.780
1999-05-01,4.970
1999-06-01,5.070
1999-07-01,5.130
1999-08-01,5.300
1999-09-01,5.220
1999-10-01,5.430
1999-11-01,5.700
1999-12-01,5.980
2000-01-01,6.300
2000-02-01,6.200
2000-03-01,6.280
2000-04-01,6.240
2000-05-01,6.370
2000-06-01,6.080
2000-07-01,6.070
2000-08-01,6.220
2000-09-01,6.070
2000-10-01,6.120
2000-11-01,5.920
2000-12-01,5.320
2001-01-01,4.600
2001-02-01,4.470
2001-03-01,4.090
2001-04-01,3.940
2001-05-01,3.630
2001-06-01,3.720
2001-07-01,3.530
2001-08-01,3.410
2001-09-01,2.490
2001-10-01,2.070
2001-11-01,2.060
2001-12-01,2.170
2002-01-01,2.290
2002-02-01,2.250
2002-03-01,2.700
2002-04-01,2.350
2002-05-01,2.340
2002-06-01,2.060
2002-07-01,1.800
2002-08-01,1.740
2002-09-01,1.530
2002-10-01,1.460
2002-11-01,1.560
2002-12-01,1.320
2003-01-01,1.310
2003-02-01,1.240
2003-03-01,1.190
2003-04-01,1.220
2003-05-01,1.130
2003-06-01,1.090
2003-07-01,1.280
2003-08-01,1.350
2003-09-01,1.150
2003-10-01,1.310
2003-11-01,1.390
2003-12-01,1.260
2004-01-01,1.280
2004-02-01,1.210
2004-03-01,1.200
2004-04-01,1.550
2004-05-01,1.830
2004-06-01,2.090
2004-07-01,2.130
2004-08-01,1.990
2004-09-01,2.210
2004-10-01,2.280
2004-11-01,2.630
2004-12-01,2.750
2005-01-01,2.960
2005-02-01,3.200
2005-03-01,3.350
2005-04-01,3.330
2005-05-01,3.320
2005-06-01,3.450
2005-07-01,3.800
2005-08-01,3.770
2005-09-01,4.010
2005-10-01,4.310
2005-11-01,4.34
2005-12-01,4.38
2006-01-01,4.58
2006-02-01,4.73
2006-03-01,4.82
2006-04-01,4.90
2006-05-01,5.07
2006-06-01,5.21
2006-07-01,5.11
2006-08-01,5.01
2006-09-01,4.91
2006-10-01,4.99
2006-11-01,4.94
2006-12-01,5.00
2007-01-01,5.09
2007-02-01,4.96
2007-03-01,4.90
2007-04-01,4.89
2007-05-01,4.95
2007-06-01,4.91
2007-07-01,4.85
2007-08-01,4.19
2007-09-01,4.05
2007-10-01,4.04
2007-11-01,3.26
2007-12-01,3.34
2008-01-01,2.11
2008-02-01,1.77
2008-03-01,1.55
2008-04-01,1.85
2008-05-01,2.22
2008-06-01,2.36
2008-07-01,2.27
2008-08-01,2.17
2008-09-01,1.78
2008-10-01,1.34
2008-11-01,0.90
2008-12-01,0.37
2009-01-01,0.51
2009-02-01,0.72
2009-03-01,0.57
2009-04-01,0.49
2009-05-01,0.47
2009-06-01,0.56
2009-07-01,0.48
2009-08-01,0.43
2009-09-01,0.40
2009-10-01,0.37
2009-11-01,0.27
2009-12-01,0.47
2010-01-01,0.30
2010-02-01,0.32
2010-03-01,0.41
2010-04-01,0.41
2010-05-01,0.34
2010-06-01,0.32
2010-07-01,0.29
2010-08-01,0.25
2010-09-01,0.27
2010-10-01,0.22
2010-11-01,0.27
2010-12-01,0.29
2011-01-01,0.26
2011-02-01,0.25
2011-03-01,0.30
2011-04-01,0.22
2011-05-01,0.18
2011-06-01,0.19
2011-07-01,0.20
2011-08-01,0.10
2011-09-01,0.13
2011-10-01,0.12
2011-11-01,0.12
2011-12-01,0.12
2012-01-01,0.13
2012-02-01,0.18
2012-03-01,0.19
2012-04-01,0.20
2012-05-01,0.18
2012-06-01,0.21
2012-07-01,0.16
2012-08-01,0.16
2012-09-01,0.17
2012-10-01,0.18
2012-11-01,0.18
2012-12-01,0.16
2013-01-01,0.15
2013-02-01,0.17
2013-03-01,0.14
2013-04-01,0.11
2013-05-01,0.14
2013-06-01,0.15
2013-07-01,0.11
2013-08-01,0.13
2013-09-01,0.10
2013-10-01,0.10
2013-11-01,0.13
2013-12-01,0.13
2014-01-01,0.10
2014-02-01,0.12
2014-03-01,0.13
2014-04-01,0.11
2014-05-01,0.10
2014-06-01,0.11
2014-07-01,0.12
2014-08-01,0.09
2014-09-01,0.13
2014-10-01,0.11
2014-11-01,0.13
2014-12-01,0.25
2015-01-01,0.18
2015-02-01,0.22
2015-03-01,0.26
2015-04-01,0.24
2015-05-01,0.26
2015-06-01,0.28
2015-07-01,0.33
2015-08-01,0.39
2015-09-01,0.33
2015-10-01,0.34
2015-11-01,0.51
2015-12-01,0.65
2016-01-01,0.47
2016-02-01,0.62
2016-03-01,0.59
2016-04-01,0.56
2016-05-01,0.68
2016-06-01,0.45
2016-07-01,0.50
2016-08-01,0.61
2016-09-01,0.59
2016-10-01,0.66
2016-11-01,0.80
2016-12-01,0.85
2017-01-01,0.84
2017-02-01,0.88
2017-03-01,1.03
2017-04-01,1.07
2017-05-01,1.17
2017-06-01,1.24
2017-07-01,1.23
2017-08-01,1.23
2017-09-01,1.31
2017-10-01,1.43
2017-11-01,1.62
2017-12-01,1.76
2018-01-01,1.90
2018-02-01,2.07
2018-03-01,2.09
2018-04-01,2.24
2018-05-01,2.23
2018-06-01,2.33
2018-07-01,2.44
2018-08-01,2.46
2018-09-01,2.59
2018-10-01,2.69
2018-11-01,2.70
2018-12-01,2.63
2019-01-01,2.55
2019-02-01,2.54
2019-03-01,2.40
2019-04-01,2.39
2019-05-01,2.21
2019-06-01,1.92
2019-07-01,2.00
2019-08-01,1.76
2019-09-01,1.75
2019-10-01,1.53
2019-11-01,1.60
2019-12-01,1.59
2020-01-01,1.45
2020-02-01,0.97
2020-03-01,0.17
2020-04-01,0.16
2020-05-01,0.17
2020-06-01,0.16
2020-07-01,0.11
2020-08-01,0.12
2020-09-01,0.12
2020-10-01,0.13
2020-11-01,0.11
2020-12-01,0.10
2021-01-01,0.10
2021-02-01,0.08
2021-03-01,0.07
2021-04-01,0.05
2021-05-01,0.05
2021-06-01,0.07
2021-07-01,0.07
2021-08-01,0.07
2021-09-01,0.09
2021-10-01,0.15
2021-11-01,0.24
2021-12-01,0.39
2022-01-01,0.78
2022-02-01,1.01
2022-03-01,1.63
2022-04-01,2.10
2022-05-01,2.08
2022-06-01,2.80
2022-07-01,2.98
2022-08-01,3.50
2022-09-01,4.05
2022-10-01,4.66
2022-11-01,4.74
2022-12-01,4.73
2023-01-01,4.68
2023-02-01,5.02
2023-03-01,4.64
2023-04-01,4.80
2023-05-01,5.18
2023-06-01,5.40
2023-07-01,5.37
2023-08-01,5.37
2023-09-01,5.46
2023-10-01,5.44
2023-11-01,5.16
2023-12-01,4.79
2024-01-01,4.73
2024-02-01,5.01
2024-03-01,5.03
